entry_time,exit_time,entry_price,exit_price,pnl_pct,exit_reason,position_size,exit_reason_desc,position_type,return_1d,return_3d,return_5d,return_10d,vix_cap
2014-08-08 14:29:00,2014-08-13 14:29:00,1925.5,1942.0,0.806920280446638,8,1.0,Time Exit (Days),long,0.33757465593351466,1.428200467411056,1.4671513892495547,3.2329265125941253,30
2014-08-14 00:00:00,2014-08-19 00:00:00,1944.75,1970.5,1.2740776449415125,8,1.0,Time Exit (Days),long,0.4627844195912001,1.594035223036383,2.352487466255293,2.763851394780814,30
2014-08-20 00:00:00,2014-08-25 00:00:00,1976.0,1994.5,0.8862348178137747,8,1.0,Time Exit (Days),long,0.7338056680161964,0.8982793522267274,1.0374493927125528,1.1386639676113308,30
2014-08-26 00:00:00,2014-08-31 00:00:00,1993.75,1998.75,0.20078369905955357,8,1.0,Time Exit (Days),long,0.13793103448276334,0.25078369905955356,0.3887147335423169,-0.3009404388714776,30
2014-09-01 00:00:00,2014-09-06 00:00:00,2001.0,2007.5,0.2748375812094029,8,1.0,Time Exit (Days),long,0.024987506246887392,-0.2623688155922066,-0.19990004997501032,-1.2493753123438256,30
2014-09-16 10:50:00,2014-09-21 10:50:00,1987.5,2000.25,0.5915094339622617,8,1.0,Time Exit (Days),long,1.2955974842767226,0.6415094339622618,0.11320754716981352,-2.251572327044027,30
2014-09-24 13:28:00,2014-09-25 09:21:00,1989.5,1969.605,-1.050000000000001,1,1.0,Stop Loss,long,-0.7665242523247073,-1.294295049007288,-2.3624026137220366,-3.493340035184722,30
2014-10-03 11:44:00,2014-10-07 08:33:00,1962.75,1943.1225,-1.050000000000001,1,1.0,Stop Loss,long,-1.5921538657495904,-2.1780664883454315,-3.490001273723098,-4.203286205578904,30
2014-10-08 14:25:00,2014-10-09 10:47:00,1958.75,1939.1625,-1.050000000000001,1,1.0,Stop Loss,long,-3.2929164007657996,-4.301212507977025,-5.2839821314613955,-1.0721123165283952,30
2014-10-17 10:11:00,2014-10-22 10:11:00,1887.5,1940.25,2.7447019867549773,8,1.0,Time Exit (Days),long,2.609271523178802,2.6622516556291442,3.8675496688741706,6.450331125827824,30
2014-10-23 00:00:00,2014-10-28 00:00:00,1924.75,1960.75,1.8203727756851584,8,1.0,Time Exit (Days),long,1.8573840758540072,2.6886608650473987,3.81867775035718,5.53318612806859,30
2014-10-30 00:00:00,2014-11-04 00:00:00,1972.5,2007.5,1.7243979721166036,8,1.0,Time Exit (Days),long,1.8631178707224416,2.154626108998725,2.978453738910014,3.1939163498098777,30
2014-11-06 00:00:00,2014-11-11 00:00:00,2014.0,2036.75,1.0795928500496543,8,1.0,Time Exit (Days),long,0.5834160873882777,0.9558093346573981,1.0675273088381232,1.9612711022840124,30
2014-11-12 00:00:00,2014-11-17 00:00:00,2033.0,2028.0,-0.29594195769798154,8,1.0,Time Exit (Days),long,0.12297097884899078,0.30742744712248804,0.5164781111657746,1.9306443679291796,30
2014-11-17 02:00:00,2014-11-22 02:00:00,2030.5,2061.75,1.489029795616842,8,1.0,Time Exit (Days),long,0.6402363949766121,1.539029795616842,1.9207091849298141,1.7360256094558046,30
2014-11-24 00:00:00,2014-11-29 00:00:00,2062.25,2066.75,0.16820826766880687,8,1.0,Time Exit (Days),long,0.35155776457751475,0.5091526245605493,-0.4606618984119293,-0.35155776457752586,30
2014-12-02 09:21:00,2014-12-07 09:21:00,2061.0,2076.5,0.7020621057738985,8,1.0,Time Exit (Days),long,0.5094614264919972,0.7520621057738985,-1.4434740417273217,-2.7049975739932064,30
2014-12-18 03:09:00,2014-12-23 03:09:00,2023.0,2072.25,2.3845032130499213,8,1.0,Time Exit (Days),long,2.014335145823032,2.718734552644597,3.0894710825506655,1.1492832427088429,30
2014-12-25 00:00:00,2014-12-30 00:00:00,2078.0,2086.0,0.33498556304138455,8,1.0,Time Exit (Days),long,0.3609239653513008,0.10827718960539912,-0.7459095283926853,-1.227141482194416,30
2015-01-08 08:44:00,2015-01-12 08:49:00,2042.5,2022.075,-1.050000000000001,1,1.0,Stop Loss,long,-0.4406364749081959,-1.2117503059975498,-1.3953488372092981,0.03671970624234966,30
2015-01-19 08:15:00,2015-01-24 08:15:00,2016.5,2043.25,1.2765559137118687,8,1.0,Time Exit (Days),long,0.6446813786263217,1.3265559137118688,1.3265559137118688,1.2521696007934624,30
2015-01-26 00:53:00,2015-01-27 09:43:00,2035.25,2014.8975,-1.050000000000001,1,1.0,Stop Loss,long,-2.2110305859231016,-2.235597592433358,0.3193710846333353,1.228350325512828,30
2015-02-02 14:40:00,2015-02-07 14:40:00,2011.75,2056.0,2.1495774822915372,8,1.0,Time Exit (Days),long,0.6834845283956836,2.199577482291537,2.4108363365229257,4.225177084627818,30
2015-02-10 00:00:00,2015-02-15 00:00:00,2044.5,2094.75,2.407813646368301,8,1.0,Time Exit (Days),long,1.002690144289553,2.457813646368301,2.5556370750794866,3.3626803619466905,30
2015-02-17 00:00:00,2015-02-22 00:00:00,2084.0,2107.25,1.06564299424185,8,1.0,Time Exit (Days),long,0.4918426103646789,1.11564299424185,1.4035508637236127,0.9596928982725572,30
