event_date,event_type,surprise_direction,actual_value,forecast_value,surprise_pct,return_day_-2,return_day_-1,return_day_+0,return_day_+1,return_day_+2
2017-10-13,CPI,better,2.18057,2.3,-5.192608695652171,0.1803468933287311,-0.16867300136190755,0.08781111202582625,0.17507647356032052,0.17507647356032052
2017-11-01,FOMC,inline,1.16,1.16,0.0,-0.3192474438895587,0.09444852555358096,0.009693266281773916,0.018996960486306058,0.30970792875555375
2017-11-15,CPI,worse,2.02076,2.0,1.0380000000000056,0.09836192541532451,-0.2309620711533511,-0.5525675974360822,0.8196146017733552,-0.26260422951377427
2017-12-13,CPI,better,2.17249,2.2,-1.2504545454545422,0.32019611540636816,0.15488780033008354,-0.04729534441145766,-0.4070826370242253,0.8974325134520456
2017-12-13,FOMC,inline,1.17,1.16,0.8620689655172422,0.32019611540636816,0.15488780033008354,-0.23079718697196494,-0.4070826370242253,0.8974325134520456
2018-01-12,CPI,worse,2.12993,2.1,1.4252380952380852,-0.11122055472160275,0.7033618001404562,0.6749627831013516,-0.3524463075686102,-0.3524463075686102
2018-01-31,FOMC,inline,1.34,1.55,-13.548387096774192,-0.6731944014173874,-1.0898781509218525,-0.247631428349393,-0.06480605989779287,-2.1208513171602883
2018-02-14,CPI,worse,2.15132,1.9,13.227368421052644,1.3914603653299107,0.26129518072288693,1.3402479965752168,1.20690869070601,0.03734622144111466
2018-03-13,CPI,worse,2.26347,2.2,2.8850000000000064,-0.1273967637633433,-0.1273967637633433,-0.636359063175973,-0.5724493818052956,-0.07819660444884358
2018-03-21,FOMC,inline,1.44,1.34,7.462686567164169,-1.4204163502312905,0.1481798210046792,-0.79381628091586,-2.516289137256489,-2.0966906104724736
2018-04-11,CPI,better,2.33095,2.4,-2.8770833333333266,0.3336571356168383,1.6726874741691988,-0.5525298565605352,0.8250731400845313,-0.28866474724003055
2018-05-02,FOMC,worse,1.7,1.44,18.05555555555556,-0.8187541902161422,0.25490455240648746,-0.7463782578733036,-0.22536964035709817,1.2811201149927953
2018-05-10,CPI,better,2.471,2.5,-1.1599999999999966,-0.026565592693339468,0.9682176113057217,0.9370632999603501,0.17076314600799058,0.08835217690965624
